Symbol,week,total_trading_volume
MLM,10,2205640.0
NXT,10,4.214049E7
WICC,10,2.464184E7
W3C,10,9361300.0
BTG,10,1.640785E8
ETN,10,1.025127E7
PART,10,9535440.0
NAV,10,1.518378E7
STRAT,10,5.509652E7
XRP,10,5.78907732E9
ACT,10,3.614583E7
IOP,10,5366090.0
EMC2,10,7389500.0
OMNI,10,7293390.0
RDD,10,4.275526E7
HSR,9,2.987888E8
GRS,9,4425800.0
DCT,9,8172690.0
XVG,9,2.092909E8
WAVES,9,1.5409E8
KORE,9,5.866914E7
BLK,9,1.772618E7
GAME,9,2.821852E7
LSK,9,2.780757E8
MONA,9,2.263006E7
GXS,9,4.755639E7
ETP,9,1.608436E7
W3C,9,3.949795E7
DASH,9,8.8178178E8
BSD,9,1886310.0
RADS,9,1.328078E7
RDD,9,1.3481956E8
PIVX,9,1.874571E7
USNBT,9,4.716307E7
SHIFT,9,8537260.0
BTS,9,9.083872E7
UNB,9,1.1092059E8
ACT,9,4.440043E7
EMC2,9,7996010.0
KMD,9,2.488856E7
PPC,9,3489980.0
XTZ,9,1583130.0
FCT,9,4.658793E7
EXCL,9,2.645181E7
SLS,9,2.911929E8
DGB,9,2.911176E7
OC,9,4.367053E7
LET,9,4.772567E7
NXS,9,3.0476014E8
NAV,9,9468280.0
XMR,9,7.5459975E8
BTC,9,5.154610666E10
BTX,9,1.223644E7
OK,9,3.275234E7
SBD,9,3.219122E7
FRGC,9,5587940.0
ION,9,1.4395622E8
SIB,9,1.305291E7
NEBL,9,8.180846E7
UBQ,9,1992050.0
BTG,9,1.794077E8
ZEN,9,2.206483E7
ZEC,9,3.9172322E8
PART,9,2.068221E7
XDN,9,3.950576E7
VIA,9,1.679065E7
LBC,9,2.070253E7
STEEM,9,4.582623E7
BCH,9,2.899381E9
XEM,9,1.799184E8
BCN,9,2.874359E7
NXT,9,2.447882E7
DYN,9,2.217608E7
ADA,9,9.25014E8
MLM,9,8966070.0
XLM,9,3.573624E8
BOS,9,3862110.0
IOP,9,1.168717E7
RVR,9,6.103879E7
TX,9,9.968847E7
ZBC,9,3014040.0
